trip_id,route_id,service_id,direction_id,shape_id,trip_headsign,trip_short_name,wheelchair_accessible,bikes_allowed,block_id,trip_headsign_code
Saturday-Sa-10-A-IB-1430-0b64caa,10,Saturday,1,10-A-IB,To Downtown Station,10,0,0,,
Weekday-Weekday-9-A-OB-1408-0b6f2bd,9,Weekday,0,9-A-OB,To Hunters Run,9,0,0,,
Weekday-Weekday-10-A-OB-0800-0b70948,10,Weekday,0,10-A-OB,To Santa Fe College,10,0,0,,
Reduced_Service-Weekday-10-A-IB-0834-0b784f3,10,Reduced_Service,1,10-A-IB,To Downtown Station,10,0,0,,
Weekday-Weekday-37-A-IB-1930-0ba4644,37,Weekday,1,37-A-IB,To Reitz Union,37,0,0,,
Weekday-Weekday-20-A-OB-0906-0ba6088,20,Weekday,0,20-A-OB,To Reitz Union,20,0,0,,
Weekday-Weekday-1-A-OB-1512-0bb1a8a,1,Weekday,0,1-A-OB,To Butler Plaza,1,0,0,,
Weekday-Weekday-11-A-OB-1200-0bc26ba,11,Weekday,0,11-A-OB,To Eastwood Meadows,11,0,0,,
Weekday-Weekday-20-A-IB-1154-0bc929e,20,Weekday,1,20-A-IB,To Oaks Mall,20,0,0,,
Weekday-Weekday-33-A-OB-1155-0bc9e9f,33,Weekday,0,33-A-OB,To The Hub,33,0,0,,
Reduced_Service-Weekday-3-A-OB-0600-0bcde9f,3,Reduced_Service,0,3-A-OB,To Post Office,3,0,0,,
Weekday-Weekday-8-A-IB-0945-0bdc956,8,Weekday,1,8-A-IB,To UF Health,8,0,0,,
Saturday-Sa-3-A-IB-0930-0bed709,3,Saturday,1,3-A-IB,To Downtown Station,3,0,0,,
Saturday-Sa-5-A-IB-1252-0beede1,5,Saturday,1,5-A-IB,To Downtown Station,5,0,0,,
Weekday-Weekday-12-A-OB-0905-0c005e8,12,Weekday,0,12-A-OB,To Dollar General,12,0,0,,
Saturday-Sa-1-A-IB-1003-0c128e3,1,Saturday,1,1-A-IB,To Downtown Station,1,0,0,,
Reduced_Service-Weekday-17-A-OB-2110-0c160b1,17,Reduced_Service,0,17-A-OB,To Downtown Station,17,0,0,,
Weekday-Weekday-5-A-OB-1610-0c2e733,5,Weekday,0,5-A-OB,To Oaks Mall,5,0,0,,
Reduced_Service-Weekday-33-A-OB-1245-0c5acbe,33,Reduced_Service,0,33-A-OB,To The Hub,33,0,0,,
Weekday-Weekday-75-A-IB-0730-0c6a6db,75,Weekday,1,75-A-IB,To Oaks Mall,75,0,0,,
Weekday-Weekday-17-A-OB-1250-0c6b19c,17,Weekday,0,17-A-OB,To Downtown Station,17,0,0,,
Reduced_Service-Weekday-12-A-OB-2250-0c8baa8,12,Reduced_Service,0,12-A-OB,To Dollar General,12,0,0,,
Weekday-Weekday-43-A-OB-0645-0c8ede0,43,Weekday,0,43-A-OB,To Santa Fe College,43,0,0,,
Weekday-Weekday-78-A-IB-1315-0cb304e,78,Weekday,1,78-A-IB,To Santa Fe,78,0,0,,
Weekday-Weekday-75-A-IB-2030-0cc682f,75,Weekday,1,75-A-IB,To Oaks Mall,75,0,0,,
Weekday-Weekday-23-A-IB-1400-0cc73bd,23,Weekday,1,23-A-IB,To Butler Plaza,23,0,0,,
Weekday-Weekday-17-A-OB-1030-0ceaec6,17,Weekday,0,17-A-OB,To Downtown Station,17,0,0,,
